ace|n. [C]（在网球运动中，对手接不到发球的）发球得分，即爱司球
loose|adj. 不处于任何一名运动员控制之中的
love|n. [U]（网球运动的）零分
lunge|n. [usually sing.]（在击剑运动中）弓步前刺
lure|n. [C] 捕捉鱼、动物的诱饵
major|n. [C] 一场重要的体育比赛，尤指高尔夫球或网球比赛
major|n. [pl.] [美] the majors 在体育领域可指彼此进行比赛的一些专业体育队伍（尤指棒球队），可叫大联盟或职业总会
manager|n. [C] 运动队的主教练
marathon|n. [C] 马拉松赛跑
mark|vt. 体育运动的团队比赛中可指与一名对手保持近距离以防止其得到球，即盯防
mat|n. [C] 一些体育运动中所用的厚垫（如塑料或橡胶材质，可供运动员躺在或落在其上的厚垫）
match|n. [C] [尤英] 体育比赛
meet|n. [C] [尤美] 体育比赛，运动会
meet|n. [C] [英] 骑马者和狗捕猎狐狸的一场活动，即猎狐运动
meeting|n. [C] 英式英语中还指一场体育赛事，或一系列速度比赛，尤指赛马
mile|n. [sing.] the mile可指一英里的速度比赛
miss|vt.＆vi.（体育运动中）未将球投入球门、网或洞中
mound|n. [C]（棒球运动中）投手站立的土墩
nap|n. [C] [英] 赛马专家给出的建议（即哪匹马最有可能赢），即赛马情报、赛马结果预测
net|n. 1 [sing.] the net 在体育运动中可指球门网
net|vt. [尤英] 将球踢入或击入球门
obstacle|n. [C] 障碍赛马运动中需要马跳过的栅栏、障碍
obstruction|n. [U] [体育] 球类运动中阻挡对方球员得到球的一种犯规行为
off|adv. 速度比赛开始，如起跑
offensive|adj. [美，体育] 攻方的；进攻型的；攻击型的
offside|adj.（美国也用offsides）（足球、曲棍球等体育运动中）越位的
onslaught|n. [C] ~ (against/on sb/sth) / ~ (of sth) 猛烈或暴力的攻击
out|adv., prep. 网球等运动中可指出界
outing|n. [C] [非正式] 体育运动中可指参赛，比赛
oval|n. [C] [澳大利亚英语] 澳大利亚式橄榄球球场
over|n. [C] 板球运动中可指一轮投球（由同一个投球手连续投出的六个球）
overhaul|vt. 在体育比赛中赶上并超过对手
overtime|n. [U] [美，体育]（体育比赛中为决胜负而延长的）加时赛
pack|n. [C] 一起去捕猎的一群动物，（可以是一群野生动物，也可以是一群饲养的动物）
pad|n. [usually pl.]（体育运动中起保护作用的一层厚厚的）防护垫（如护腿、护肘等）
paddle|n. [C] [美] 乒乓球的一个球拍
park|n. 1 [C] [美] 运动场，尤指棒球场
pass|vt.＆vi. pass (sth) (to sb)（在球类运动中，用踢、投掷或击打等方式）传球
penalize|vt.（体育运动中）判罚
penalty|n. 1 [C] 在体育运动中对犯规者的判罚、处罚
pin|n. [C] 保龄球等游戏的木质（或塑料质）瓶状物
pin|n. [C] 高尔夫球运动中可指插在洞中的旗杆（以使选手能够进行瞄准）
ping-pong|n. [U] [英，非正式] 乒乓球运动
pitch|n. [C] [英] [英美也可用field] 体育比赛的场地
pitch|n. [C] 棒球的投球或其投球方法
pitcher|n. [C] 棒球运动中的投球手
place|n. [C, usually sing.]（速度比赛或其他竞赛中）获胜者的名次
place|n. [C] 作为某一运动队的队员的身份或资格，即队员身份；队员资格
plate|n. [sing.] [美] = HOME PLATE 棒球运动中的本垒板
play|n. [U] 体育运动中可指比赛；比赛中的表现或赛风
play|vi. 在运动队中担当或充任某一位置
play|vt. 与球接触并将其击出或踢出
play|vt.＆vi. play (sth) (with/against) / play sb (at sth) 参加比赛，与…比赛
plunge|n. [usually sing.] 快速游泳
plunge|n. [usually sing.] 跳水
poach|vt.&vi. （在他人地界未经允许而）非法偷猎、偷捕（鸟类、动物或鱼）
pocket|n. [C]（台球、普尔、斯诺克等的）任何一个球洞或网袋
pocket|vt.（台球、普尔、斯诺克等）将球击入球袋，相当于pot
pool|n. [C] 游泳池，相当于swimming pool。是此义的常规用词
pool|n. [U] 落袋台球，也叫普尔
pool|n. [pl.] the pools也叫football pools，指英国的一种猜足球赛输赢的赌博，即赌球，足球普尔
position|n. [C] 在一些团队性体育比赛中，可指某名队员所处的位置和其所拥有的职责，可以叫职责，位置或角色
position|n. [C] 速度比赛，各种竞赛或测试中（与其他人对比时所产生）的名次
possession|n. [U] 控球的状态
post|n. [C, usually sing.] 足球的门柱，相当于goalpost
post|n. [sing.] the post 可指速度比赛的终点，尤指赛马的终点
pot|n. [C]（台球、普尔或斯诺克运动中）将球击入一个球袋的行为
practice|n. [U, C] 经常从事一项活动或训练以提高自身的技能，即训练；也可指训练所花费的时间
practise|vt.＆vi. practise (for sth) / practise (sth) (on sb/sth) 经常从事某一活动或训练以提高自身的技能，即训练，练习
preserve|n. [C] 一片私人渔猎场（其中放养着动物或鱼以供猎取）
prey|n. [U, sing.] 猎物
pro|adj. [只用于名词前] [尤美]（在体育领域）职业的、专业的
professional|adj.（体育运动）职业性的、专业性的（而非业余的）
professional|n. [C]（也可用非正式的pro）职业运动员
promote|vt. promote sth (from sth) (to sth)，将体育运动队晋级，反义词为relegate
promotion|n. [U] ~ (to sth)（体育运动队的）晋级
prop|n. [C]（也可用prop forward）橄榄球运动中的第一排球员中的边锋
pull|n. [C, usually sing.] [英] 对陡峭山峰的艰难攀登
pull|vi. pull ahead of/pull away from 可表示在速度比赛或其他竞赛中逐渐拉开领先的距离
pursuit|n. [sing.]（自行车赛和滑冰竞赛中的）追逐赛
put|vt. 体育运动中可指推铅球
quarter|n. [C] 美式足球比赛四节中的一节
race|n. 1 [C] 动物比拼速度的比赛
race|n. [C] race (between A and B) / race (against sb) 比拼速度的比赛，如赛跑、游泳、赛车等
race|vt.＆vi. race (against) sb/sth 和…进行速度比赛；参加速度比赛
racing|n. [U] 通常构成复合词，指任何一种速度比赛
racing|n. [U]（也可用horse racing）赛马运动
racket|n. [C]（也可用racquet）（网球、壁球、羽毛球等的）球拍
racket|n. [U] rackets或racquets可指用一个硬球所打的壁球
rally|n. [C] [英]（汽车、摩托车等在公共道路上举行的）拉力赛
rally|n. [C]（在网球、羽毛球、壁球等类似运动项目中）（争夺一分的）一系列拍击
ramble|vi. [尤英] 愉快地行走，即漫步，尤指在乡间漫步、漫游
range|n. [C] 高尔夫球练习场
rebound|n. [C]（篮球运动中对某人未投中的球进行的）抢断篮板球
receive|vt.＆vi. 体育运动中可指（网球等运动中）接（对方发球手所发过来的）球
receiver|n. [C] 美式足球中向前传球时的接球手，也可叫直传球接球手
record|n. [C]（在体育运动中所创造的）最好的结果，或最高、最低的水平，即纪录
referee|n. [C] 某些体育比赛的裁判，裁判员
regular|n. [C] 经常在某一团队中效力的队员，即主力（或正式）队员
relay|n. [C] 接力赛，例如接力赛跑或接力游泳等，也可叫relay race
replacement|n. [C] ~ (for sb) 团队成员的替换者，如替补队员
replay|n. [C] [体育]（由于未决出胜负而进行的）重赛
reserve|n. [C] 体育运动的替补队员或后备队员；the reserves为复数名词，指替补队或后备队
return|n. [C] 体育赛事的退票
return|vt. 网球中将球击回
riding|n. [U]（英式英语也可用horse riding；美式英语也可用horseback riding）（作为一项活动或体育运动的）骑马
rifle|vt.（在足球比赛中）猛踢足球
right|n. [C] 拳击中的右手拳。与left相反
rim|n. [C] 篮球的篮筐上的金属圆环（网系在上面）
ring|n. [C]（动物或人进行比赛的）封闭的圆形场地（场地周围是观众坐席）
roam|vt.&vi. 没有目标或方向地在一个区域走动或穿行，如徜徉、闲逛、漫步
rope|n. [pl.] the ropes可指拳击场（或摔跤场）四周的围绳
rough|n. [sing.] the rough 可指（高尔夫球场的）长草区（在该区域击球更困难）
round|n. 1 [C] 体育比赛的阶段或轮次，也可叫局或场。是此义的常规用词
rubber|n. [C]（某些体育运动中相同的对手或队伍间）多轮决胜负的比赛
rugby|n. [U] 橄榄球运动
run|n. [C] 板球或棒球运动中分数的一个点数
run|n. [C] 滑雪或其它运动中的坡道
run|vi. 1 跑步，奔跑
runner|n. 1 [C] 跑步的人，尤指参加赛跑运动（或以跑步为乐）的人
runner|n. [C] [加拿大] 跑步或其它体育运动项目所穿的鞋，即跑鞋；运动鞋
runner|n. [C]（金属、塑料或木制的）条状滑行装置，如（雪橇的）滑板；（冰鞋的）冰刀
running|n. [U] 跑，跑步（运动）
rush|vt. [美] 美式足球中可指冲向持球人
sabre|n. [C] 击剑运动用的佩剑（重量较轻）
sack|vt.（在美式足球中）擒杀（四分卫）
safety|n. [C] [美] 美式足球的中卫
saunter|vi. 缓慢而放松地行走。相当于stroll
save|vt.＆vi. 足球、曲棍球等体育运动中阻止对方射门得分，即救球
score|n. [C] 在比赛中，由某个选手或队伍所得的分数
scramble|n. [C] 摩托车越野赛
scrimmage|n. [C] [美]（美式足球、篮球等的）练习性比赛，如队内分组对抗赛，教学比赛
scrimmage|n. [C]（在美式足球中）争球
seed|n. [C] 网球或羽毛球等运动中的种子选手（即根据能力进行排名后名次最靠前的一些选手，在比赛初期为了不让这些高水平选手被淘汰，通常不将高水平选手相互排在一组）
seed|vt. 常用被动式，在网球等运动中将选手或体育队按照能力进行排名，确定为种子选手或队伍
senior|adj. 只作前置定语，指体育运动针对成年人的、或针对高水平选手的
series|n. [C] [体育] 两队之间的系列比赛
serve|vt.＆vi. 体育运动（如网球等）中可指发球
service|n. [C] 网球、羽毛球等运动中的发球或发球方式，相当于serve，二者未见明显差别
set|n. [C] 在体育运动中，可指网球或排球比赛等的局，盘
shaft|n. [C]（高尔夫球棒的）杆
shoot|vt.＆vi. shoot (at sth)（足球，曲棍球等运动中）射门，或（篮球）投篮等
shoot|vt.＆vi.（作为一项体育运动的）打猎，狩猎
shot|n. [C] 击（或踢、投）球得分，射门，投篮
shot|n. [C] 单数名词，与数字连用，指在比赛中有某种获胜可能的马或狗
shot|n. [C] 单数名词，体育运动中可指铅球
showdown|n. [usually sing.]（体育比赛）决出胜负的较量
side|n. [C] [英] 体育运动队。是一个简单用词
sideline|n. [pl.] sidelines可指（运动场地、网球场等的）边线，两侧场外区域
single|n. 1 [C] 板球中的一分打
single|n. [U] singles 在体育运动（尤指网球运动）中可指（一场或一系列的）单打比赛
sink|vt.（在高尔夫或斯诺克运动中）将球击入洞或袋
skate|n. 1 [C]（在冰上滑冰用的）冰鞋；冰刀
skate|vt.＆vi.（在冰上）滑冰，溜冰
skateboard|n. [C] 滑板
skating|n. 1 [U]（也可用ice skating）滑冰（或溜冰）运动；滑冰（或溜冰）活动
ski|n. [C] 滑雪板；滑水板
ski|vi. 1 滑雪或滑水运动
skiing|n. [U] 滑雪运动、滑雪活动
skip|vt.＆vi. [英；美为jump rope或skip rope] 跳绳
slam|vt. 猛踢射门
slice|n. [C]（高尔夫、网球等体育运动的）削球，侧旋球或斜切打法（使球在朝某个方向行进的过程中自身做高速旋转运动）
smash|vt. 猛踢射门。相当于slam
smash|vt.（在网球等活动中）用力打高高的扣球
sneaker|n. [C] [美；英为trainer或training shoe]（运动或作为便装所穿的）运动鞋
