above|adv. 上文或前文
tense|n. [C] 动词的时态
text|n. 1 [U] 书籍或杂志等的正文，而非引言、注释或图片等
thesaurus|n. [C] 同义分类词典
thick|adj. [有时含贬义]（口音）浓重的，让人一听就知道来自哪个国家或地区的，相当于strong
tongue|n. [C] [正式或文学] 一门语言
tonic|n. [C] [语音学]（也可用tonic syllable）语调音节，语调核心（区别音高变化的音节）
trace|vt. ~ sth (out) 在一个表面上画线
trace|vt.（用手指或脚尖等在表面上）绘出、勾勒出某事物的外形或轮廓
transcribe|vt. [术语] 用音标来标出发音
transcribe|vt. ~ sth (into sth) 把想法、话语或数据转成另一种书写形式
transcript|n. [C]（也可用transcription（根据录音或笔记整理的）口头发言的文字稿件
translate|vt.＆vi. translate (sth) (from sth) (into sth) / translate sth (as sth) 用一种不同的语言来表达意思，即翻译
translation|n. [C, U] 译文；译本；译作
translation|n. [U] translation (of sth) (into sth) / translation (from sth) (into sth) 将一种语言翻译成另一种语言的过程，即翻译
translator|n. [C] 以翻译为工作的人，即翻译员，翻译家
twang|n. [usually sing.] 说话时的鼻音（即音好像从鼻子里出来的）
type|n. [U]（印刷或打印的）字母，文字，字体，字型；也可指印刷文字所用的小块金属（如铅字）
type|vt.＆vi.（用计算机或打字机）打字。是此义的常规用词
typing|n. 1 [U]（用打字机或计算机）打字
underline|vt.（美尤用underscore）在一个字词、句子等下面画一条线
underscore|vt. 在字词、句子等下面画线（以表示强调）
unit|n. [C] 课本的单元，课
use|vt. 说或写（词语或特定种类的语言），即使用（词语或语言）
variety|n. [C] variety (of sth) 某种语言的一个变体
verb|n. [C] [语法] 动词
vernacular|n. [sing.]（通常用the vernacular）一个地区或群体所说的方言、土话（尤指非官方话或非书面语）
verse|n. [C]（《圣经》、《古兰经》等的）节
vocabulary|n. 1 [C, U] 一个人所掌握或使用的全部词汇，即词汇量
voice|n. [U] 浊音（由声带震动所发出的元音和某些辅音）
voice|n. [sing.] the active/passive voice主动语态或被动语态
voice|vt. 发浊音
vowel|n. [C] [语音学] 元音
vowel|n. [C] 元音字母
wallet|n. [C] 由皮革、塑料或硬纸板制成的用于携带文件的扁平式文件夹
