lead|vt.＆vi. 纸牌游戏中可指先出牌，即开牌；也可指打出自己的第一张牌
leave|n. [U]（由于特殊原因而从工作中获得的）假期，休假
leisure|n. [U] 空闲、休闲、闲暇
length|n. [U, C]（电影等所持续的）时间长度
line|n. [C] 电影的台词，对白。是一个简单用词
listener|n. [C] 收听广播节目的人
long|adj.（演讲、电影等）长的
lounge|n. [C]（旅馆、俱乐部等用于等候或放松的）休息室
magazine|n. [C] 关于某一主题的广播（或电视）节目，即专题节目
magic|n. [U] 为愉悦人们所表演的魔术或戏法（即做一些看起来不可能的事），相当于conjuring
make|vt. 出产影视作品。是一个简单用词
man|n. [C] 国际象棋中的棋子
manager|n. [C] 为演员、音乐人等处理商业事务的一个人，即（演员、音乐人等的）经纪人，其含义已为agent所包括
marble|n. [U] marbles 可指玻璃弹子游戏
mate|n. [U] 国际象棋中的将死、输棋，相当于checkmate
material|n. [U] 用以创作电影等所需的素材
material|n. [U] 表演的曲目、剧目、节目
monologue|n. [U, C]（戏剧、电影等的）独白
monopoly|n. [C] “大富翁”游戏（是一种棋类游戏，游戏者以玩具钞票买卖房地产）
move|vt.＆vi.（国际象棋和其他棋类游戏）走棋子；移动一颗棋子
movie|n. 1 [C] [尤美] 电影，相当于film
movie|n. [pl.] [尤美] the movies 可指去电影院看电影，相当于cinema
mystery|n. [C] 疑案电影或戏剧）
night|n. [U, C] 某一特殊事件（或活动）发生（或举行）的夜晚，即…之夜
nightclub|n. [C]（人们夜间喝酒跳舞等的）夜店
observe|vt. [正式] 庆祝节日、生日等。不常用
occasion|n. [C] 特别的仪式或庆典
off|adv. 休息或下班
off|adv. 在剧院舞台的后面或旁边
open|vi. open (with sth)（故事、电影等）以…开篇（或开始）
open|vi.（电影、戏剧或其他公共活动）开始，开演
opening|n. [C, U] 开演，与closing相反
opening|n. [C, usually sing.] 庆祝某个公共活动开始的一场仪式，可称为开幕式；庆祝一栋新建筑、一条公路等首次投入使用的一场仪式，如落成典礼、通车仪式等
opening|n. [C, usually sing.] 某事物的开始、开端或第一部分，与ending相反
opera|n. [C] 歌剧院
opposite|prep. 在电影或戏剧中与某人合演，即联袂演出
